group,filename,correct,solution_length
experimental,lowtemp/solution_experimental_309.py,1,256
control,lowtemp/solution_control_309.py,1,275
experimental,lowtemp/solution_experimental_310.py,1,256
control,lowtemp/solution_control_310.py,1,280
experimental,lowtemp/solution_experimental_311.py,1,256
control,lowtemp/solution_control_311.py,0,
experimental,lowtemp/solution_experimental_312.py,0,
control,lowtemp/solution_control_312.py,1,280
experimental,lowtemp/solution_experimental_313.py,1,305
control,lowtemp/solution_control_313.py,1,275
experimental,lowtemp/solution_experimental_314.py,1,679
control,lowtemp/solution_control_314.py,0,
experimental,lowtemp/solution_experimental_315.py,1,256
control,lowtemp/solution_control_315.py,0,
experimental,lowtemp/solution_experimental_316.py,1,256
control,lowtemp/solution_control_316.py,0,
experimental,lowtemp/solution_experimental_317.py,1,256
control,lowtemp/solution_control_317.py,1,275
experimental,lowtemp/solution_experimental_318.py,1,725
control,lowtemp/solution_control_318.py,1,275
experimental,lowtemp/solution_experimental_319.py,0,
control,lowtemp/solution_control_319.py,1,280
experimental,lowtemp/solution_experimental_320.py,1,256
control,lowtemp/solution_control_320.py,1,280
experimental,lowtemp/solution_experimental_321.py,1,725
control,lowtemp/solution_control_321.py,1,275
experimental,lowtemp/solution_experimental_322.py,0,
control,lowtemp/solution_control_322.py,0,
experimental,lowtemp/solution_experimental_323.py,0,
control,lowtemp/solution_control_323.py,0,
experimental,lowtemp/solution_experimental_324.py,1,280
control,lowtemp/solution_control_324.py,0,
experimental,lowtemp/solution_experimental_325.py,0,
control,lowtemp/solution_control_325.py,0,
experimental,lowtemp/solution_experimental_326.py,1,256
control,lowtemp/solution_control_326.py,1,280
experimental,lowtemp/solution_experimental_327.py,0,
control,lowtemp/solution_control_327.py,1,280
experimental,lowtemp/solution_experimental_328.py,1,256
control,lowtemp/solution_control_328.py,1,275
experimental,lowtemp/solution_experimental_329.py,1,256
control,lowtemp/solution_control_329.py,1,275
experimental,lowtemp/solution_experimental_330.py,1,280
control,lowtemp/solution_control_330.py,0,
experimental,lowtemp/solution_experimental_331.py,1,256
control,lowtemp/solution_control_331.py,1,275
experimental,lowtemp/solution_experimental_332.py,1,256
control,lowtemp/solution_control_332.py,0,
experimental,lowtemp/solution_experimental_333.py,1,256
control,lowtemp/solution_control_333.py,0,
experimental,lowtemp/solution_experimental_334.py,1,256
control,lowtemp/solution_control_334.py,0,
experimental,lowtemp/solution_experimental_335.py,1,297
control,lowtemp/solution_control_335.py,1,275
experimental,lowtemp/solution_experimental_336.py,1,725
control,lowtemp/solution_control_336.py,0,
experimental,lowtemp/solution_experimental_337.py,1,280
control,lowtemp/solution_control_337.py,0,
experimental,lowtemp/solution_experimental_338.py,1,256
control,lowtemp/solution_control_338.py,0,
experimental,lowtemp/solution_experimental_339.py,1,256
control,lowtemp/solution_control_339.py,1,275
experimental,lowtemp/solution_experimental_340.py,1,256
control,lowtemp/solution_control_340.py,0,
experimental,lowtemp/solution_experimental_341.py,1,256
control,lowtemp/solution_control_341.py,0,
experimental,lowtemp/solution_experimental_342.py,0,
control,lowtemp/solution_control_342.py,0,
experimental,lowtemp/solution_experimental_343.py,1,341
control,lowtemp/solution_control_343.py,0,
experimental,lowtemp/solution_experimental_344.py,1,285
control,lowtemp/solution_control_344.py,0,
experimental,lowtemp/solution_experimental_345.py,1,256
control,lowtemp/solution_control_345.py,1,275
experimental,lowtemp/solution_experimental_346.py,1,275
control,lowtemp/solution_control_346.py,1,275
experimental,lowtemp/solution_experimental_347.py,1,725
control,lowtemp/solution_control_347.py,0,
experimental,lowtemp/solution_experimental_348.py,1,582
control,lowtemp/solution_control_348.py,0,
experimental,lowtemp/solution_experimental_349.py,1,256
control,lowtemp/solution_control_349.py,0,
experimental,lowtemp/solution_experimental_350.py,1,256
control,lowtemp/solution_control_350.py,0,
experimental,lowtemp/solution_experimental_351.py,1,725
control,lowtemp/solution_control_351.py,1,323
experimental,lowtemp/solution_experimental_352.py,0,
control,lowtemp/solution_control_352.py,0,
experimental,lowtemp/solution_experimental_353.py,1,256
control,lowtemp/solution_control_353.py,1,280
experimental,lowtemp/solution_experimental_354.py,0,
control,lowtemp/solution_control_354.py,0,
experimental,lowtemp/solution_experimental_355.py,1,285
control,lowtemp/solution_control_355.py,0,
experimental,lowtemp/solution_experimental_356.py,1,679
control,lowtemp/solution_control_356.py,1,275
experimental,lowtemp/solution_experimental_357.py,1,380
control,lowtemp/solution_control_357.py,0,
experimental,lowtemp/solution_experimental_358.py,1,256
control,lowtemp/solution_control_358.py,0,
experimental,lowtemp/solution_experimental_359.py,1,256
control,lowtemp/solution_control_359.py,0,
experimental,lowtemp/solution_experimental_360.py,1,256
control,lowtemp/solution_control_360.py,1,275
experimental,lowtemp/solution_experimental_361.py,1,256
control,lowtemp/solution_control_361.py,0,
experimental,lowtemp/solution_experimental_362.py,1,256
control,lowtemp/solution_control_362.py,0,
experimental,lowtemp/solution_experimental_363.py,1,256
control,lowtemp/solution_control_363.py,0,
experimental,lowtemp/solution_experimental_364.py,0,
control,lowtemp/solution_control_364.py,0,
experimental,lowtemp/solution_experimental_365.py,1,256
control,lowtemp/solution_control_365.py,1,275
experimental,lowtemp/solution_experimental_366.py,1,256
control,lowtemp/solution_control_366.py,1,275
experimental,lowtemp/solution_experimental_367.py,1,285
control,lowtemp/solution_control_367.py,0,
experimental,lowtemp/solution_experimental_368.py,1,256
control,lowtemp/solution_control_368.py,0,
experimental,lowtemp/solution_experimental_369.py,0,
control,lowtemp/solution_control_369.py,0,
experimental,lowtemp/solution_experimental_370.py,1,256
control,lowtemp/solution_control_370.py,1,275
experimental,lowtemp/solution_experimental_371.py,1,725
control,lowtemp/solution_control_371.py,1,275
experimental,lowtemp/solution_experimental_372.py,1,256
control,lowtemp/solution_control_372.py,0,
experimental,lowtemp/solution_experimental_373.py,1,256
control,lowtemp/solution_control_373.py,1,275
experimental,lowtemp/solution_experimental_374.py,1,256
control,lowtemp/solution_control_374.py,1,275
experimental,lowtemp/solution_experimental_375.py,1,256
control,lowtemp/solution_control_375.py,1,275
experimental,lowtemp/solution_experimental_376.py,1,698
control,lowtemp/solution_control_376.py,0,
experimental,lowtemp/solution_experimental_377.py,1,256
control,lowtemp/solution_control_377.py,0,
experimental,lowtemp/solution_experimental_378.py,1,256
control,lowtemp/solution_control_378.py,0,
experimental,lowtemp/solution_experimental_379.py,1,256
control,lowtemp/solution_control_379.py,0,
experimental,lowtemp/solution_experimental_380.py,1,256
control,lowtemp/solution_control_380.py,0,
experimental,lowtemp/solution_experimental_381.py,0,
control,lowtemp/solution_control_381.py,0,
experimental,lowtemp/solution_experimental_382.py,1,256
control,lowtemp/solution_control_382.py,0,
experimental,lowtemp/solution_experimental_383.py,0,
control,lowtemp/solution_control_383.py,1,341
experimental,lowtemp/solution_experimental_384.py,1,256
control,lowtemp/solution_control_384.py,1,320
experimental,lowtemp/solution_experimental_385.py,1,366
control,lowtemp/solution_control_385.py,1,280
experimental,lowtemp/solution_experimental_386.py,1,256
control,lowtemp/solution_control_386.py,0,
experimental,lowtemp/solution_experimental_387.py,1,256
control,lowtemp/solution_control_387.py,1,293
experimental,lowtemp/solution_experimental_388.py,1,337
control,lowtemp/solution_control_388.py,1,280
experimental,lowtemp/solution_experimental_389.py,1,256
control,lowtemp/solution_control_389.py,0,
experimental,lowtemp/solution_experimental_390.py,1,256
control,lowtemp/solution_control_390.py,0,
experimental,lowtemp/solution_experimental_391.py,1,725
control,lowtemp/solution_control_391.py,0,
experimental,lowtemp/solution_experimental_392.py,1,256
control,lowtemp/solution_control_392.py,1,275
experimental,lowtemp/solution_experimental_393.py,1,256
control,lowtemp/solution_control_393.py,0,
experimental,lowtemp/solution_experimental_394.py,1,256
control,lowtemp/solution_control_394.py,0,
experimental,lowtemp/solution_experimental_395.py,1,256
control,lowtemp/solution_control_395.py,0,
experimental,lowtemp/solution_experimental_396.py,1,256
control,lowtemp/solution_control_396.py,1,256
experimental,lowtemp/solution_experimental_397.py,1,256
control,lowtemp/solution_control_397.py,0,
experimental,lowtemp/solution_experimental_398.py,1,256
control,lowtemp/solution_control_398.py,0,
experimental,lowtemp/solution_experimental_399.py,0,
control,lowtemp/solution_control_399.py,1,275
experimental,lowtemp/solution_experimental_400.py,1,256
control,lowtemp/solution_control_400.py,0,
experimental,lowtemp/solution_experimental_401.py,0,
control,lowtemp/solution_control_401.py,0,
experimental,lowtemp/solution_experimental_402.py,1,256
control,lowtemp/solution_control_402.py,0,
experimental,lowtemp/solution_experimental_403.py,1,256
control,lowtemp/solution_control_403.py,0,
experimental,lowtemp/solution_experimental_404.py,1,256
control,lowtemp/solution_control_404.py,1,280
experimental,lowtemp/solution_experimental_405.py,1,256
control,lowtemp/solution_control_405.py,1,275
experimental,lowtemp/solution_experimental_406.py,1,256
control,lowtemp/solution_control_406.py,0,
experimental,lowtemp/solution_experimental_407.py,1,256
control,lowtemp/solution_control_407.py,0,
experimental,lowtemp/solution_experimental_408.py,1,256
control,lowtemp/solution_control_408.py,1,275
experimental,lowtemp/solution_experimental_409.py,1,256
control,lowtemp/solution_control_409.py,1,275
experimental,lowtemp/solution_experimental_410.py,1,256
control,lowtemp/solution_control_410.py,0,
experimental,lowtemp/solution_experimental_411.py,1,347
control,lowtemp/solution_control_411.py,0,
experimental,lowtemp/solution_experimental_412.py,1,256
control,lowtemp/solution_control_412.py,1,280
experimental,lowtemp/solution_experimental_413.py,1,256
control,lowtemp/solution_control_413.py,0,
experimental,lowtemp/solution_experimental_414.py,1,285
control,lowtemp/solution_control_414.py,1,275
experimental,lowtemp/solution_experimental_415.py,1,348
control,lowtemp/solution_control_415.py,0,
experimental,lowtemp/solution_experimental_416.py,1,256
control,lowtemp/solution_control_416.py,0,
experimental,lowtemp/solution_experimental_417.py,1,256
control,lowtemp/solution_control_417.py,1,275
experimental,lowtemp/solution_experimental_418.py,1,256
control,lowtemp/solution_control_418.py,0,
experimental,lowtemp/solution_experimental_419.py,1,256
control,lowtemp/solution_control_419.py,0,
experimental,lowtemp/solution_experimental_420.py,1,256
control,lowtemp/solution_control_420.py,1,275
experimental,lowtemp/solution_experimental_421.py,1,275
control,lowtemp/solution_control_421.py,1,280
experimental,lowtemp/solution_experimental_422.py,0,
control,lowtemp/solution_control_422.py,0,
experimental,lowtemp/solution_experimental_423.py,1,256
control,lowtemp/solution_control_423.py,0,
experimental,lowtemp/solution_experimental_424.py,1,725
control,lowtemp/solution_control_424.py,0,
experimental,lowtemp/solution_experimental_425.py,1,256
control,lowtemp/solution_control_425.py,0,
experimental,lowtemp/solution_experimental_426.py,1,256
control,lowtemp/solution_control_426.py,0,
experimental,lowtemp/solution_experimental_427.py,1,280
control,lowtemp/solution_control_427.py,0,
experimental,lowtemp/solution_experimental_428.py,1,256
control,lowtemp/solution_control_428.py,0,
experimental,lowtemp/solution_experimental_429.py,1,256
control,lowtemp/solution_control_429.py,0,
experimental,lowtemp/solution_experimental_430.py,1,280
control,lowtemp/solution_control_430.py,1,320
experimental,lowtemp/solution_experimental_431.py,1,256
control,lowtemp/solution_control_431.py,1,280
experimental,lowtemp/solution_experimental_432.py,0,
control,lowtemp/solution_control_432.py,1,275
experimental,lowtemp/solution_experimental_433.py,1,725
control,lowtemp/solution_control_433.py,1,275
experimental,lowtemp/solution_experimental_434.py,1,256
control,lowtemp/solution_control_434.py,0,
experimental,lowtemp/solution_experimental_435.py,1,256
control,lowtemp/solution_control_435.py,1,275
experimental,lowtemp/solution_experimental_436.py,1,256
control,lowtemp/solution_control_436.py,1,275
experimental,lowtemp/solution_experimental_437.py,1,256
control,lowtemp/solution_control_437.py,0,
experimental,lowtemp/solution_experimental_438.py,1,725
control,lowtemp/solution_control_438.py,1,275
experimental,lowtemp/solution_experimental_439.py,1,256
control,lowtemp/solution_control_439.py,0,
experimental,lowtemp/solution_experimental_440.py,1,256
control,lowtemp/solution_control_440.py,0,
experimental,lowtemp/solution_experimental_441.py,1,256
control,lowtemp/solution_control_441.py,1,275
experimental,lowtemp/solution_experimental_442.py,1,347
control,lowtemp/solution_control_442.py,0,
experimental,lowtemp/solution_experimental_443.py,1,679
control,lowtemp/solution_control_443.py,0,
experimental,lowtemp/solution_experimental_444.py,1,679
control,lowtemp/solution_control_444.py,0,
experimental,lowtemp/solution_experimental_445.py,1,256
control,lowtemp/solution_control_445.py,1,280
experimental,lowtemp/solution_experimental_446.py,1,419
control,lowtemp/solution_control_446.py,0,
experimental,lowtemp/solution_experimental_447.py,1,256
control,lowtemp/solution_control_447.py,0,
experimental,lowtemp/solution_experimental_448.py,1,305
control,lowtemp/solution_control_448.py,0,
experimental,lowtemp/solution_experimental_449.py,1,256
control,lowtemp/solution_control_449.py,0,
experimental,lowtemp/solution_experimental_450.py,1,256
control,lowtemp/solution_control_450.py,0,
experimental,lowtemp/solution_experimental_451.py,1,256
control,lowtemp/solution_control_451.py,0,
experimental,lowtemp/solution_experimental_452.py,0,
control,lowtemp/solution_control_452.py,0,
experimental,lowtemp/solution_experimental_453.py,1,347
control,lowtemp/solution_control_453.py,0,
experimental,lowtemp/solution_experimental_454.py,1,256
control,lowtemp/solution_control_454.py,0,
experimental,lowtemp/solution_experimental_455.py,1,725
control,lowtemp/solution_control_455.py,0,
experimental,lowtemp/solution_experimental_456.py,1,725
control,lowtemp/solution_control_456.py,0,
experimental,lowtemp/solution_experimental_457.py,1,348
control,lowtemp/solution_control_457.py,1,275
experimental,lowtemp/solution_experimental_458.py,1,280
control,lowtemp/solution_control_458.py,1,275
experimental,lowtemp/solution_experimental_459.py,1,256
control,lowtemp/solution_control_459.py,0,
experimental,lowtemp/solution_experimental_460.py,1,256
control,lowtemp/solution_control_460.py,0,
experimental,lowtemp/solution_experimental_461.py,1,285
control,lowtemp/solution_control_461.py,1,275
experimental,lowtemp/solution_experimental_462.py,1,725
control,lowtemp/solution_control_462.py,0,
experimental,lowtemp/solution_experimental_463.py,1,256
control,lowtemp/solution_control_463.py,0,
experimental,lowtemp/solution_experimental_464.py,1,256
control,lowtemp/solution_control_464.py,0,
experimental,lowtemp/solution_experimental_465.py,1,256
control,lowtemp/solution_control_465.py,0,
experimental,lowtemp/solution_experimental_466.py,1,256
control,lowtemp/solution_control_466.py,1,348
experimental,lowtemp/solution_experimental_467.py,1,725
control,lowtemp/solution_control_467.py,0,
experimental,lowtemp/solution_experimental_468.py,1,256
control,lowtemp/solution_control_468.py,0,
experimental,lowtemp/solution_experimental_469.py,1,256
control,lowtemp/solution_control_469.py,1,275
experimental,lowtemp/solution_experimental_470.py,1,256
control,lowtemp/solution_control_470.py,1,275
experimental,lowtemp/solution_experimental_471.py,1,256
control,lowtemp/solution_control_471.py,0,
experimental,lowtemp/solution_experimental_472.py,1,256
control,lowtemp/solution_control_472.py,1,275
experimental,lowtemp/solution_experimental_473.py,1,256
control,lowtemp/solution_control_473.py,0,
experimental,lowtemp/solution_experimental_474.py,1,256
control,lowtemp/solution_control_474.py,1,275
experimental,lowtemp/solution_experimental_475.py,0,
control,lowtemp/solution_control_475.py,0,
experimental,lowtemp/solution_experimental_476.py,1,256
control,lowtemp/solution_control_476.py,1,275
experimental,lowtemp/solution_experimental_477.py,1,256
control,lowtemp/solution_control_477.py,1,275
experimental,lowtemp/solution_experimental_478.py,1,256
control,lowtemp/solution_control_478.py,1,256
experimental,lowtemp/solution_experimental_479.py,1,256
control,lowtemp/solution_control_479.py,0,
experimental,lowtemp/solution_experimental_480.py,1,256
control,lowtemp/solution_control_480.py,0,
experimental,lowtemp/solution_experimental_481.py,0,
control,lowtemp/solution_control_481.py,0,
experimental,lowtemp/solution_experimental_482.py,1,285
control,lowtemp/solution_control_482.py,0,
experimental,lowtemp/solution_experimental_483.py,1,256
control,lowtemp/solution_control_483.py,0,
experimental,lowtemp/solution_experimental_484.py,1,280
control,lowtemp/solution_control_484.py,1,275
experimental,lowtemp/solution_experimental_485.py,1,725
control,lowtemp/solution_control_485.py,0,
experimental,lowtemp/solution_experimental_486.py,1,256
control,lowtemp/solution_control_486.py,1,280
experimental,lowtemp/solution_experimental_487.py,1,256
control,lowtemp/solution_control_487.py,1,280
experimental,lowtemp/solution_experimental_488.py,1,256
control,lowtemp/solution_control_488.py,1,275
experimental,lowtemp/solution_experimental_489.py,1,256
control,lowtemp/solution_control_489.py,0,
experimental,lowtemp/solution_experimental_490.py,1,256
control,lowtemp/solution_control_490.py,0,
experimental,lowtemp/solution_experimental_491.py,1,256
control,lowtemp/solution_control_491.py,0,
experimental,lowtemp/solution_experimental_492.py,1,256
control,lowtemp/solution_control_492.py,1,275
experimental,lowtemp/solution_experimental_493.py,1,256
control,lowtemp/solution_control_493.py,0,
experimental,lowtemp/solution_experimental_494.py,1,725
control,lowtemp/solution_control_494.py,1,275
experimental,lowtemp/solution_experimental_495.py,1,285
control,lowtemp/solution_control_495.py,0,
experimental,lowtemp/solution_experimental_496.py,1,725
control,lowtemp/solution_control_496.py,0,
experimental,lowtemp/solution_experimental_497.py,0,
control,lowtemp/solution_control_497.py,1,275
experimental,lowtemp/solution_experimental_498.py,1,699
control,lowtemp/solution_control_498.py,1,275
experimental,lowtemp/solution_experimental_499.py,0,
control,lowtemp/solution_control_499.py,1,275
experimental,lowtemp/solution_experimental_500.py,1,256
control,lowtemp/solution_control_500.py,0,
